Phase-Out:,Net-zero:,Retro-fitting:,Light-weighting:,Modal shift:,Scrap age:,Regulated EV manufacture:,Modal shift rate (years):,Cumulative Electric Emissions,Cumulative Tailpipe Emissions,Cumulative WTT Emissions,Cumulative EV Production Emissions,Cumulative ICE Production Emissions,Cumulative Conversion Production Emissions,Cumulative Electric Energy,Cumulative Tailpipe Energy,Cumulative WTT Energy,Cumulative EV Production Energy,Cumulative ICE Production Energy,Cumulative Conversion Production Energy
2025,2020,0.2,840,-52,10,1,5,3.3873645637780494,27.306883444926026,7.3813818750620985,11.264250667604157,1.0218392440316666,2.408846855928334,184750361540.31207,416375648332.49695,95514289765.11482,217882360000.0,24525956000.0,47939338000
2025,2020,0.2,840,-52,10,1,5,3.5843873136340463,27.306883444926026,7.3813818750620985,11.835127539856657,1.0218392440316666,2.408846855928334,195520592743.1188,416375648332.49695,95514289765.11482,228900992000.0,24525956000.0,47939338000
2025,2020,0.2,840,-52,10,1,5,3.781410063490043,27.306883444926026,7.3813818750620985,12.381882854126657,1.0218392440316666,2.408846855928334,206290823945.92554,416375648332.49695,95514289765.11482,239454048000.0,24525956000.0,47939338000
2025,2020,0.2,840,-52,10,1,5,3.97843281334604,27.306883444926026,7.3813818750620985,13.001002842344155,1.0218392440316666,2.408846855928334,217061055148.73227,416375648332.49695,95514289765.11482,251403832000.0,24525956000.0,47939338000
2025,2020,0.2,840,-54,10,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025,2020,0.2,840,-54,10,1,5,0.004006801342167721,3.6334562721519794,0.9915486847784913,0.0080405193275,0.3312555791091664,0.10353209982499996,219031441.14272872,55646814596.5197,12581532203.995327,155192000.0,7950722000.0,2060430000
2025,2020,0.2,840,-54,10,1,5,0.00955262907503008,7.222779542804044,1.9693173768319001,0.016081038655,0.42670210190333313,0.1380427997666666,523188593.2003062,110572596692.40285,25047411091.669346,310384000.0,10241608000.0,2747240000
2025,2020,0.2,840,-54,10,1,5,0.018226088375777466,10.74453224995711,2.926578917126241,0.07550334514500001,0.5670646354241665,0.19325991967333328,996840263.4868474,164409789227.79858,37307129061.16378,1527560000.0,13610558000.0,3846136000
2025,2020,0.2,840,-54,10,1,5,0.031845118387235485,13.795212195729103,3.7535846352970457,0.2442250234666666,0.7186561716266666,0.2760855995333332,1739909470.7119532,210988186841.53738,47949672980.724686,4901184000.0,17249024000.0,5494480000
2025,2020,0.2,840,-54,10,1,5,0.05225368636761865,16.362276901088478,4.447384916705835,0.5560421003066662,0.8702477078291666,0.39342197933499984,2852177539.943902,250127997889.03247,56941938302.01048,11060144000.0,20887490000.0,7829634000
2025,2020,0.2,840,-54,10,1,5,0.07683321583498408,18.485115289988716,5.019613765056522,0.9016552038333325,0.9544652279416667,0.4969540791599998,4184613277.834753,282455470783.7027,64384396580.98707,17847992000.0,22908860000.0,9890064000
2025,2020,0.2,840,-54,10,1,5,0.10543262853671206,20.17523996689137,5.474002284726013,1.416248440793332,0.9544652279416667,0.6073883189733331,5719053020.490889,308162241302.2626,70314585397.88194,27780280000.0,22908860000.0,12087856000
2025,2020,0.2,840,-54,10,1,5,0.1371534375963996,21.462634050209104,5.819267381339099,1.9710442743908314,0.9544652279416667,0.7247246987749998,7428892167.443534,327721401802.843,74842573358.33667,38488528000.0,22908860000.0,14423010000
2025,2020,0.2,840,-54,10,1,5,0.1774435794348099,22.673966697621978,6.1435513356869,2.4856375113508307,0.9544652279416667,0.8351589385883331,9606378105.251812,346109839203.19257,79108324220.3308,48420816000.0,22908860000.0,16620802000
2025,2020,0.2,840,-54,10,1,5,0.228221530371585,23.796518471874094,6.4436494319364765,3.0967169802408296,0.9544652279416667,0.9593974583783331,12356343401.184235,363139676437.02454,83060855539.73778,60215408000.0,22908860000.0,19093318000
2025,2020,0.2,840,-54,10,1,5,0.2930302804461097,24.80431719391866,6.712831053984509,3.8846878743358286,0.9544652279416667,1.1250488180983331,15872407405.532806,378422426395.62976,86614724666.62968,75424224000.0,22908860000.0,22390006000
2025,2020,0.2,840,-54,10,1,5,0.38094850471097447,25.624049026230992,6.931559759758335,5.171170966735829,0.9544652279416667,1.3942322776433334,20650775698.445156,390847507100.711,89508114134.76566,100254944000.0,22908860000.0,27747124000
2025,2020,0.2,840,-54,10,1,5,0.49084806611621407,26.269677767590828,7.103732594937434,6.288803153258328,0.9544652279416667,1.6289050372466667,26629721609.07682,400631021646.1338,91801084000.91562,121826632000.0,22908860000.0,32417432000
2025,2020,0.2,840,-54,10,1,5,0.6257402607931755,26.71490568723187,7.222379415827096,7.494881052383328,0.9544652279416667,1.8842842168150002,33974728836.99308,407375580511.52576,93398873761.882,145105432000.0,22908860000.0,37499826000
