Policies,Emissions,Energy
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', -40, 'Scrap age:', 18, 'Regulated EV manufacture:', 0)",82.81907838,1.24874E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', -40, 'Scrap age:', 18, 'Regulated EV manufacture:', 1)",70.83739643,1.24437E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', -40, 'Scrap age:', 16, 'Regulated EV manufacture:', 0)",80.74687017,1.23231E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', -40, 'Scrap age:', 16, 'Regulated EV manufacture:', 1)",67.7817792,1.22758E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', -40, 'Scrap age:', 14, 'Regulated EV manufacture:', 0)",79.18484251,1.2228E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', -40, 'Scrap age:', 14, 'Regulated EV manufacture:', 1)",65.07420565,1.21756E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', -40, 'Scrap age:', 12, 'Regulated EV manufacture:', 0)",77.97279497,1.22071E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', -40, 'Scrap age:', 12, 'Regulated EV manufacture:', 1)",62.80344378,1.21475E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', -40, 'Scrap age:', 10, 'Regulated EV manufacture:', 0)",77.46108315,1.23803E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', -40, 'Scrap age:', 10, 'Regulated EV manufacture:', 1)",61.59562384,1.23074E+12
